marital_status,application_mode,application_order,course,daytime/evening_attendance,previous_qualification,previous_qualification_(grade),nationality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,target
Single,14,1,13,Daytime,1,140.0,0,3,31,23,37,126.6,No,No,No,Yes,Male,No,19,No,2,6,7,6,14.428571428571429,0,1,7,8,7,14.375,0,11.1,0.6,2.02,2
Single,9,1,16,Evening,1,133.1,0,17,22,29,43,143.2,No,No,No,Yes,Male,No,35,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,0
Single,0,2,0,Daytime,1,131.0,18,6,0,24,41,131.4,Yes,No,No,Yes,Male,No,20,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,2
Single,11,1,13,Daytime,1,141.0,0,12,8,22,36,133.3,Yes,No,No,Yes,Male,No,18,No,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,1
Single,0,1,14,Daytime,1,120.0,0,6,22,29,43,118.3,No,No,Yes,No,Male,Yes,18,No,0,6,11,5,12.166666666666666,0,0,6,15,3,12.0,0,13.9,-0.3,0.79,0
Single,12,1,3,Daytime,39,140.0,0,7,0,24,40,140.0,No,No,No,Yes,Male,No,21,No,0,6,12,5,12.142857142857142,0,0,6,11,5,11.666666666666666,0,13.9,-0.3,0.79,2
Single,0,1,10,Daytime,1,132.0,0,0,7,26,40,124.7,Yes,No,No,Yes,Male,No,21,No,0,6,9,6,12.0,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,2
Married,9,2,8,Daytime,1,130.0,0,6,22,24,41,140.0,No,No,No,Yes,Male,No,34,No,0,5,10,3,11.666666666666666,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,2
Divorced,9,1,7,Daytime,1,140.0,0,17,22,26,41,150.0,Yes,No,No,Yes,Male,No,34,No,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,0
Single,4,2,13,Daytime,1,110.0,0,12,15,24,2,115.6,Yes,No,No,Yes,Male,No,21,No,0,6,10,6,11.875,0,0,6,8,5,12.0,0,11.1,0.6,2.02,2
Single,11,1,14,Daytime,1,140.0,0,12,22,23,41,116.9,No,No,No,Yes,Male,No,32,No,6,11,15,7,11.285714285714286,0,5,7,10,6,12.333333333333334,0,13.9,-0.3,0.79,1
Single,4,2,10,Daytime,1,130.0,0,17,22,25,41,123.4,Yes,No,No,Yes,Male,No,30,No,0,6,17,2,10.0,0,0,6,15,3,11.333333333333334,0,7.6,2.6,0.32,0
Single,0,1,0,Daytime,1,137.0,0,0,15,23,41,146.5,Yes,No,Yes,Yes,Male,No,19,No,6,12,13,11,12.0,0,4,11,15,10,11.181818181818182,0,8.9,1.4,3.51,1
Single,14,1,14,Daytime,1,158.0,0,0,7,28,42,117.1,Yes,No,No,Yes,Male,No,20,No,1,7,7,6,13.833333333333334,0,1,6,7,5,13.0,0,8.9,1.4,3.51,0
Single,0,1,4,Daytime,1,124.0,0,6,7,29,41,113.9,Yes,No,No,Yes,Male,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0
Single,0,1,10,Daytime,1,136.0,0,12,15,22,36,128.7,No,No,No,Yes,Male,No,19,No,0,6,7,6,14.428571428571429,0,0,6,6,6,12.5,0,8.9,1.4,3.51,2
Single,4,3,11,Daytime,1,142.0,0,12,15,23,37,132.9,Yes,No,No,Yes,Male,No,18,No,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,0
Single,9,1,16,Evening,1,150.0,0,0,7,24,42,123.0,No,No,No,Yes,Male,No,27,No,0,5,8,4,11.5,0,0,5,9,3,10.333333333333334,0,12.7,3.7,-1.7,0
Single,9,1,14,Daytime,12,120.0,0,0,0,29,43,129.8,Yes,No,No,Yes,Male,No,52,No,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,2
Married,11,1,3,Daytime,1,149.0,0,0,0,24,39,156.1,Yes,No,No,No,Male,No,29,No,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,0
Single,14,1,3,Daytime,39,130.0,0,0,7,24,38,120.0,Yes,No,Yes,No,Male,No,22,No,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,0
Single,11,1,5,Daytime,1,110.0,15,18,23,29,40,117.2,Yes,No,No,Yes,Male,No,28,Yes,13,18,45,18,12.5,12,10,13,26,12,11.428571428571429,6,15.5,2.8,-4.06,2
Single,9,1,13,Daytime,6,133.1,0,0,0,30,37,107.0,Yes,No,No,Yes,Male,No,30,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
Single,0,2,11,Daytime,1,134.0,0,0,0,25,37,128.4,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.471428571428572,0,0,8,9,8,13.944444444444445,0,16.2,0.3,-0.92,2
Single,0,2,13,Daytime,1,130.0,0,18,22,25,39,123.4,Yes,No,No,Yes,Female,No,21,No,0,5,5,4,11.75,0,0,5,5,3,13.333333333333334,0,9.4,-0.8,-3.12,2
Single,0,1,4,Daytime,1,141.0,0,17,22,29,43,126.7,Yes,No,Yes,Yes,Female,Yes,20,No,0,6,9,6,13.333333333333334,0,0,6,10,6,14.666666666666666,0,12.7,3.7,-1.7,2
Single,10,1,11,Daytime,1,123.0,0,17,22,23,37,123.0,Yes,No,No,Yes,Female,Yes,21,No,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,2
Married,9,1,16,Evening,19,133.1,0,6,22,27,43,137.2,No,No,Yes,No,Female,No,32,No,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,0
Single,0,3,4,Daytime,1,122.0,0,17,22,29,43,125.9,Yes,No,No,Yes,Male,Yes,20,No,0,6,6,6,15.5,0,0,6,7,6,12.166666666666666,0,12.4,0.5,1.79,2
Single,0,4,0,Daytime,1,132.0,0,0,7,24,39,138.0,Yes,No,Yes,No,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0
Single,2,1,13,Daytime,1,133.1,18,0,0,29,39,128.2,No,No,Yes,No,Male,No,18,Yes,0,6,6,4,11.25,0,0,6,7,3,12.333333333333334,0,8.9,1.4,3.51,0
Single,11,1,16,Evening,1,130.0,0,17,8,29,38,126.5,Yes,No,No,No,Male,No,23,No,10,15,24,12,11.0,0,10,14,21,11,11.363636363636363,1,7.6,2.6,0.32,0
Single,0,1,10,Daytime,1,111.0,0,0,0,23,37,112.4,Yes,No,No,Yes,Male,No,20,No,0,6,10,6,12.333333333333334,0,0,6,9,4,13.0,0,12.4,0.5,1.79,2
Married,11,2,8,Daytime,1,133.1,0,17,22,29,43,109.0,Yes,No,No,Yes,Female,No,46,No,4,9,18,8,11.375,2,0,5,11,5,11.8,0,9.4,-0.8,-3.12,2
Single,4,1,3,Daytime,1,125.0,0,12,15,22,36,100.0,No,No,No,Yes,Male,No,27,No,16,18,19,18,12.22222222222222,0,9,12,15,12,12.384615384615383,0,15.5,2.8,-4.06,2
Single,13,1,0,Daytime,1,137.0,0,12,7,1,2,144.7,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,1
Married,11,3,2,Evening,19,100.0,0,17,22,29,43,120.0,Yes,No,No,Yes,Male,No,41,No,5,9,11,9,12.0,0,3,7,8,6,12.0,0,9.4,-0.8,-3.12,2
Single,2,1,8,Daytime,1,133.1,12,0,15,19,37,100.0,No,No,Yes,Yes,Male,No,40,Yes,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,1
Married,12,1,2,Evening,39,150.0,0,0,0,25,39,154.0,No,No,No,Yes,Male,No,37,No,12,16,17,16,14.125,0,6,11,14,10,13.0,0,12.4,0.5,1.79,2
Single,0,4,8,Daytime,1,120.0,0,18,23,25,2,111.3,No,No,No,Yes,Male,No,20,No,0,5,8,5,10.2,0,0,5,7,5,11.2,0,12.4,0.5,1.79,1
Single,12,1,7,Daytime,39,150.0,0,0,0,24,38,150.0,Yes,No,No,Yes,Female,No,20,No,0,5,7,4,12.0,1,0,5,6,4,12.4,0,10.8,1.4,1.74,1
Single,17,1,16,Evening,40,133.1,0,0,22,24,1,100.0,No,No,No,Yes,Female,No,26,No,8,9,11,9,12.333333333333334,0,4,7,7,7,12.571428571428571,0,12.4,0.5,1.79,2
Married,9,1,2,Evening,1,133.1,0,17,22,29,41,162.5,No,No,No,Yes,Male,No,54,No,4,9,9,9,14.333333333333334,0,2,7,7,7,13.857142857142858,0,8.9,1.4,3.51,2
Single,4,5,13,Daytime,1,132.0,0,6,7,25,39,134.1,Yes,No,No,Yes,Male,No,21,No,0,6,6,6,15.166666666666666,0,0,6,9,6,14.0,0,10.8,1.4,1.74,2
Single,0,1,5,Daytime,1,134.0,0,0,0,29,43,133.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,8,6,15.142857142857142,0,0,6,8,6,15.142857142857142,0,11.1,0.6,2.02,2
Single,4,6,14,Daytime,1,126.0,0,0,7,25,39,119.0,Yes,No,No,Yes,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0
Single,0,3,11,Daytime,1,136.0,0,0,7,24,43,131.1,Yes,No,No,Yes,Female,No,19,No,0,7,9,6,13.411428571428573,0,0,8,12,7,13.294444444444444,0,15.5,2.8,-4.06,1
Single,0,2,9,Daytime,1,129.0,0,18,0,24,2,129.4,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.333333333333334,0,0,6,7,6,12.166666666666666,0,9.4,-0.8,-3.12,2
Single,0,1,5,Daytime,1,126.0,0,12,0,22,42,123.9,Yes,No,No,Yes,Female,No,19,No,0,6,13,4,11.8,0,0,6,18,4,12.2,0,12.4,0.5,1.79,1
Single,12,1,5,Daytime,39,140.0,0,0,0,24,41,140.0,Yes,No,Yes,Yes,Female,No,22,No,2,6,9,6,12.0,0,1,6,12,3,12.0,0,13.9,-0.3,0.79,0
Single,11,1,5,Daytime,1,162.0,0,7,0,24,38,162.0,No,No,No,Yes,Female,No,19,No,0,6,7,6,15.0,0,0,6,8,6,15.625,0,12.4,0.5,1.79,2
Single,0,1,0,Daytime,1,148.0,0,12,8,24,36,131.6,Yes,No,No,Yes,Female,No,21,No,6,12,12,8,13.875,0,4,11,13,9,12.7,1,8.9,1.4,3.51,0
Single,4,1,15,Daytime,1,119.0,0,12,15,7,13,110.6,No,No,No,Yes,Female,No,20,No,0,7,9,6,11.833333333333334,0,0,7,7,6,14.333333333333334,0,11.1,0.6,2.02,1
Single,4,3,14,Daytime,1,123.0,0,0,7,25,39,117.4,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.5,0,0,6,6,6,13.833333333333334,0,16.2,0.3,-0.92,2
Single,4,1,14,Daytime,1,150.0,0,18,23,27,41,137.8,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,15.0,0,0,6,6,6,15.5,0,8.9,1.4,3.51,2
Single,4,1,13,Daytime,1,113.0,0,0,0,25,38,106.7,Yes,No,Yes,Yes,Female,No,20,No,0,6,10,2,11.666666666666666,0,0,6,10,4,10.5,0,15.5,2.8,-4.06,0
Single,0,1,11,Daytime,1,152.0,0,6,22,23,42,156.9,No,No,No,Yes,Female,Yes,18,No,0,7,10,7,14.668,0,0,8,8,8,14.63375,0,15.5,2.8,-4.06,2
Single,0,3,11,Daytime,1,154.0,0,12,15,1,37,129.0,Yes,No,No,Yes,Female,No,18,No,0,8,9,6,13.345,2,0,8,9,6,13.345,2,9.4,-0.8,-3.12,1
Single,0,2,14,Daytime,1,130.0,0,0,19,29,43,124.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,5,12.8,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,2
Single,0,1,9,Daytime,1,121.0,0,0,0,1,1,115.1,Yes,No,No,Yes,Female,No,19,No,0,6,10,6,10.833333333333334,0,0,6,7,6,12.142857142857142,0,11.1,0.6,2.02,2
Single,0,1,4,Daytime,1,153.0,0,12,15,1,36,146.7,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,6,5,14.0,0,12.7,3.7,-1.7,2
Single,0,1,11,Daytime,1,148.0,0,12,0,24,39,132.8,No,No,No,Yes,Female,No,18,No,0,8,8,7,14.537142857142856,0,0,8,8,7,14.537142857142856,0,10.8,1.4,1.74,2
Single,13,3,5,Daytime,1,143.0,0,17,22,0,44,159.1,No,No,Yes,Yes,Female,Yes,18,No,0,5,5,5,14.4,0,0,5,5,5,14.0,0,7.6,2.6,0.32,0
Single,4,3,0,Daytime,1,147.0,0,6,0,25,38,137.6,Yes,No,No,Yes,Female,Yes,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,2
Single,4,1,14,Daytime,1,138.0,0,0,7,29,43,124.0,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.833333333333334,0,11.1,0.6,2.02,2
Single,9,1,11,Daytime,1,120.0,0,12,15,22,36,149.0,No,No,No,No,Male,No,36,No,0,6,15,2,11.5,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,0
Single,4,1,9,Daytime,1,145.0,0,0,26,29,36,129.6,No,No,No,Yes,Female,Yes,19,No,0,6,7,6,11.333333333333334,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,2
Single,4,3,9,Daytime,1,118.0,0,12,0,22,39,110.0,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.0,0,0,6,6,5,13.6,0,8.9,1.4,3.51,2
Single,0,3,14,Daytime,1,121.0,0,6,7,23,37,116.1,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,2
Single,0,3,14,Daytime,1,135.0,0,18,23,25,42,133.3,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,14.833333333333334,0,0,6,6,6,14.166666666666666,0,8.9,1.4,3.51,2
Single,12,1,4,Daytime,1,140.0,0,0,0,29,42,144.3,Yes,No,No,Yes,Female,No,19,No,2,7,7,7,13.0,0,5,9,9,9,13.22222222222222,0,12.4,0.5,1.79,2
Single,5,3,11,Daytime,1,145.0,0,0,0,24,42,133.6,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.087142857142856,0,0,8,8,8,12.95,0,11.1,0.6,2.02,2
Single,0,1,7,Daytime,1,133.0,0,0,22,29,43,123.2,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.333333333333334,0,0,6,7,6,13.666666666666666,0,8.9,1.4,3.51,2
Single,0,1,15,Daytime,1,127.0,0,12,0,23,41,137.2,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.166666666666666,0,0,6,10,4,12.75,0,10.8,1.4,1.74,1
Single,15,1,4,Daytime,42,130.0,0,21,7,23,39,130.0,Yes,No,No,No,Female,Yes,22,No,0,6,8,6,11.0,0,0,6,10,4,12.0,0,8.9,1.4,3.51,1
Single,0,2,9,Daytime,1,117.0,0,6,0,29,42,110.0,Yes,No,Yes,No,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,0
Single,4,4,8,Daytime,1,125.0,0,6,7,25,39,118.0,Yes,No,No,Yes,Female,No,19,No,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,2
Single,0,1,14,Daytime,1,141.0,0,18,23,29,43,128.4,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,15.5,0,0,6,6,6,14.0,0,11.1,0.6,2.02,2
Single,0,3,15,Daytime,1,122.0,0,0,15,25,37,113.6,No,No,No,Yes,Female,No,19,No,0,7,7,7,13.857142857142858,0,0,7,7,7,14.285714285714286,0,11.1,0.6,2.02,2
Single,4,2,8,Daytime,1,118.0,0,6,0,29,37,113.5,Yes,No,Yes,Yes,Female,No,20,No,0,5,10,2,11.5,0,0,5,8,3,10.0,0,11.1,0.6,2.02,1
Single,4,3,4,Daytime,1,142.0,0,0,23,23,39,146.9,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.0,0,0,6,6,6,12.166666666666666,0,16.2,0.3,-0.92,2
Single,0,1,7,Daytime,1,143.0,0,12,15,22,2,141.3,No,No,Yes,No,Female,No,23,No,0,6,10,6,14.0,0,0,6,11,4,13.0,0,11.1,0.6,2.02,1
Single,0,4,14,Daytime,1,143.0,0,0,15,24,41,129.7,Yes,No,No,Yes,Female,No,20,No,0,4,4,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,0
Single,0,5,4,Daytime,1,123.0,0,12,0,29,37,121.3,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.166666666666666,0,0,6,9,6,11.5,0,12.4,0.5,1.79,1
Single,0,1,9,Daytime,1,115.0,0,0,0,29,38,109.1,Yes,No,Yes,No,Female,Yes,22,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0
Single,4,2,15,Daytime,1,112.0,0,6,23,25,41,107.1,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,12.142857142857142,0,0,7,9,6,13.666666666666666,0,11.1,0.6,2.02,2
Single,4,1,11,Daytime,1,135.0,0,6,23,29,43,129.2,No,No,No,Yes,Female,Yes,18,No,0,7,7,7,14.145714285714286,0,0,8,9,8,13.627777777777778,0,11.1,0.6,2.02,2
Single,0,1,11,Daytime,1,162.0,0,12,25,23,37,154.1,No,No,No,Yes,Female,No,18,No,0,7,7,7,14.45,0,0,8,9,8,14.144444444444444,0,11.1,0.6,2.02,2
Single,0,1,15,Daytime,1,143.0,0,6,15,24,38,147.2,No,No,No,Yes,Female,No,18,No,0,7,7,7,15.714285714285714,0,0,7,7,7,15.0,0,11.1,0.6,2.02,2
Single,14,1,8,Daytime,1,130.0,0,0,0,24,38,120.0,No,No,No,Yes,Female,No,21,No,0,5,9,5,12.8,0,0,5,11,3,12.666666666666666,0,11.1,0.6,2.02,1
Single,4,1,4,Daytime,1,136.0,0,0,22,24,39,130.8,No,No,No,Yes,Female,No,20,No,0,6,6,6,12.5,0,0,6,8,6,11.5,0,10.8,1.4,1.74,1
Single,3,1,4,Daytime,1,125.0,0,0,0,24,38,120.8,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.5,0,0,6,6,6,12.833333333333334,0,12.4,0.5,1.79,2
Single,4,2,11,Daytime,1,132.0,0,6,22,23,39,125.4,Yes,No,No,No,Female,Yes,20,No,0,7,7,7,13.462857142857144,0,0,8,10,7,13.164285714285716,0,11.1,0.6,2.02,1
Single,0,1,2,Evening,1,123.0,0,14,22,29,44,121.3,Yes,No,No,Yes,Female,No,25,No,0,6,6,6,12.833333333333334,0,0,6,6,6,12.833333333333334,0,7.6,2.6,0.32,2
Single,0,1,8,Daytime,1,142.0,0,6,7,29,43,127.0,Yes,No,No,Yes,Female,Yes,18,No,0,5,10,5,12.0,0,0,5,8,4,11.6,0,13.9,-0.3,0.79,2
Single,0,3,0,Daytime,1,147.0,0,3,7,29,37,151.6,Yes,No,No,Yes,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,2
Single,0,1,5,Daytime,1,140.0,19,0,7,24,41,131.6,Yes,No,No,Yes,Female,No,20,Yes,0,7,9,6,14.714285714285714,0,1,7,16,6,13.2,0,12.4,0.5,1.79,1
Single,0,2,9,Daytime,1,133.1,0,6,7,29,43,106.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,6,12.571428571428571,0,0,6,7,6,13.285714285714286,0,12.4,0.5,1.79,2
Single,5,4,14,Daytime,1,114.0,0,0,0,29,43,111.6,Yes,No,No,Yes,Female,Yes,21,No,0,6,6,6,12.5,0,0,6,6,6,11.5,0,11.1,0.6,2.02,2
Single,4,3,13,Daytime,1,125.0,0,0,15,24,37,117.3,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,14.0,0,0,6,9,5,14.0,0,8.9,1.4,3.51,2
Single,4,1,15,Daytime,1,127.0,0,0,0,25,41,121.4,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,11.571428571428571,0,0,7,9,6,13.166666666666666,0,11.1,0.6,2.02,0
Single,0,3,4,Daytime,1,132.0,0,0,15,29,41,126.1,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,15.833333333333334,0,0,6,6,6,15.333333333333334,0,11.1,0.6,2.02,2
Single,0,4,11,Daytime,1,148.0,0,6,7,24,39,137.0,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.25,0,0,8,8,8,14.25,0,9.4,-0.8,-3.12,2
Single,11,1,13,Daytime,1,139.0,0,12,7,23,39,120.8,No,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,0
Single,4,1,10,Daytime,1,136.0,0,19,15,23,37,128.7,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,11.666666666666666,0,0,6,10,6,11.0,0,13.9,-0.3,0.79,0
Single,9,1,9,Daytime,9,133.1,0,14,19,0,0,118.0,No,No,No,Yes,Female,No,47,No,0,6,12,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,0
Single,11,1,7,Daytime,1,120.0,19,0,15,29,36,120.0,No,No,Yes,Yes,Female,No,21,Yes,2,5,9,5,13.2,2,0,5,7,2,12.5,2,10.8,1.4,1.74,1
Married,9,1,7,Daytime,1,130.0,0,17,22,29,40,160.0,No,No,No,Yes,Male,No,31,No,1,6,11,2,12.0,1,1,6,12,1,10.0,1,16.2,0.3,-0.92,0
Married,9,1,6,Daytime,1,110.0,0,17,22,30,39,150.0,Yes,No,No,Yes,Male,No,46,No,0,5,6,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
Single,0,3,6,Daytime,1,133.0,0,12,0,23,38,121.8,Yes,No,No,Yes,Male,No,18,No,0,5,9,4,12.0,0,0,5,10,2,11.0,0,8.9,1.4,3.51,1
Single,4,3,6,Daytime,1,138.0,0,12,15,23,38,125.4,Yes,Yes,No,Yes,Male,No,19,No,0,5,10,3,13.333333333333334,0,0,5,9,4,10.75,0,8.9,1.4,3.51,0
Single,14,1,12,Daytime,1,131.0,0,0,22,13,33,126.6,Yes,No,No,Yes,Male,No,23,No,0,7,11,5,12.414285714285713,0,0,7,13,2,13.5,0,8.9,1.4,3.51,1
Single,12,1,7,Daytime,39,150.0,0,12,0,22,42,150.0,No,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
Single,0,1,8,Daytime,1,125.0,0,18,0,23,2,114.5,Yes,No,No,Yes,Male,No,19,No,0,5,5,5,13.8,0,0,5,7,5,12.4,0,9.4,-0.8,-3.12,2
Single,0,1,8,Daytime,1,108.0,18,12,15,29,43,107.0,No,No,Yes,No,Female,No,19,Yes,0,5,14,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,0
Single,4,1,8,Daytime,1,116.0,0,12,0,23,38,115.7,No,No,No,No,Male,No,22,No,0,5,10,4,11.5,0,0,5,11,4,14.0,0,8.9,1.4,3.51,1
Single,9,1,7,Daytime,1,133.1,0,12,19,23,0,120.0,No,No,Yes,No,Male,No,29,No,0,5,11,0,0.0,4,0,5,6,0,0.0,1,9.4,-0.8,-3.12,0
Single,0,3,11,Daytime,1,147.0,0,17,23,29,39,134.8,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,14.016666666666666,0,0,7,7,6,14.016666666666666,0,7.6,2.6,0.32,2
Single,0,1,9,Daytime,1,143.0,0,18,19,29,43,133.6,Yes,No,No,Yes,Female,No,18,No,0,6,9,5,11.4,0,0,6,8,5,10.8,0,9.4,-0.8,-3.12,2
Single,0,1,0,Daytime,1,115.0,0,17,22,29,42,129.0,Yes,No,Yes,No,Female,Yes,23,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0
Married,9,1,16,Evening,1,160.0,0,0,0,21,12,128.4,No,No,No,Yes,Female,No,34,No,0,5,12,5,10.4,0,0,5,11,5,12.0,0,12.4,0.5,1.79,2
Single,4,1,8,Daytime,1,118.0,0,6,7,29,43,122.2,No,No,No,Yes,Female,No,19,No,0,5,11,3,10.666666666666666,0,0,5,9,4,10.25,0,11.1,0.6,2.02,2
Single,0,1,5,Daytime,1,122.0,0,0,0,22,39,113.3,Yes,No,No,Yes,Female,No,18,No,0,5,9,4,14.25,0,0,5,8,5,12.714285714285714,0,10.8,1.4,1.74,1
Single,4,6,11,Daytime,1,143.0,0,0,7,24,38,129.9,No,No,No,Yes,Female,Yes,20,No,3,7,7,7,13.914285714285713,0,5,8,8,8,14.10625,0,11.1,0.6,2.02,2
Single,0,6,11,Daytime,1,133.0,0,12,15,1,1,126.2,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,13.761111111111113,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,2
Single,13,2,15,Daytime,1,122.0,0,6,7,24,39,112.6,Yes,No,No,Yes,Female,No,22,No,0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,1
Single,0,1,9,Daytime,1,164.0,0,6,7,29,43,149.0,Yes,No,No,Yes,Female,Yes,23,No,0,6,7,6,13.857142857142858,0,0,6,6,6,14.166666666666666,0,10.8,1.4,1.74,2
Married,9,1,11,Daytime,1,133.1,0,0,7,29,43,120.0,No,No,No,Yes,Male,Yes,34,No,0,8,8,7,13.842857142857143,0,0,8,8,7,13.842857142857143,0,12.7,3.7,-1.7,2
Single,4,4,6,Daytime,1,127.0,0,6,7,25,39,120.4,Yes,No,Yes,No,Male,No,18,No,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,1
Single,0,3,14,Daytime,1,140.0,0,0,24,24,1,128.1,Yes,Yes,No,Yes,Male,No,21,No,0,6,6,5,11.8,0,0,6,9,0,0.0,0,16.2,0.3,-0.92,0
Single,0,1,9,Daytime,1,127.0,0,0,7,24,37,141.7,Yes,No,No,Yes,Male,No,22,No,0,6,6,6,12.666666666666666,0,0,6,6,6,13.833333333333334,0,10.8,1.4,1.74,0
Single,9,1,3,Daytime,12,133.1,0,17,0,29,2,130.0,No,No,No,Yes,Male,No,28,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,0
Single,13,4,6,Daytime,1,115.0,0,6,22,24,40,113.3,Yes,No,No,Yes,Male,No,23,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
Single,0,1,14,Daytime,1,108.0,0,14,23,0,37,105.9,No,No,No,Yes,Male,No,20,No,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,0
Single,5,2,6,Daytime,1,136.0,0,0,8,25,38,122.7,Yes,No,No,Yes,Male,No,18,No,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,0
Single,9,2,8,Daytime,12,133.1,0,6,23,29,43,120.0,Yes,No,Yes,No,Male,No,28,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,0
